fpr,tpr,threshold
0.7672,0.9041,76.27
0.7694,0.9041,76.27
0.7716,0.9041,76.24
0.7737,0.9041,76.24
0.7759,0.9041,76.12
0.7780,0.9041,76.12
0.7780,0.9068,76.04
0.7780,0.9096,76.04
0.7780,0.9123,76.04
0.7780,0.9151,75.79
0.7780,0.9178,75.55
0.7780,0.9205,75.50
0.7780,0.9233,75.30
0.7780,0.9260,75.30
0.7780,0.9288,75.30
0.7780,0.9315,75.30
0.7780,0.9342,75.30
0.7780,0.9370,75.30
0.7780,0.9397,75.30
0.7780,0.9425,75.30
0.7780,0.9452,75.05
0.7780,0.9479,75.05
0.7780,0.9507,75.05
0.7780,0.9534,75.05
0.7780,0.9562,75.05
0.7780,0.9589,75.05
0.7780,0.9616,75.05
0.7780,0.9644,74.64
0.7802,0.9644,74.51
0.7823,0.9644,74.51
0.7845,0.9644,74.51
0.7866,0.9644,74.50
0.7888,0.9644,74.50
0.7888,0.9671,74.49
0.7909,0.9671,74.46
0.7931,0.9671,74.41
0.7953,0.9671,74.38
0.7974,0.9671,74.38
0.7996,0.9671,74.37
0.7996,0.9699,74.35
0.8017,0.9699,74.35
0.8039,0.9699,74.33
0.8060,0.9699,74.33
0.8082,0.9699,74.32
0.8103,0.9699,74.30
0.8125,0.9699,74.30
0.8147,0.9699,74.28
0.8168,0.9699,74.24
0.8190,0.9699,74.24
0.8211,0.9699,74.21
0.8233,0.9699,74.20
0.8254,0.9699,74.20
0.8276,0.9699,74.20
0.8297,0.9699,74.20
0.8319,0.9699,74.20
0.8341,0.9699,74.20
0.8362,0.9699,74.20
0.8384,0.9699,74.18
0.8405,0.9699,74.16
0.8427,0.9699,74.16
0.8427,0.9726,74.16
0.8448,0.9726,74.11
0.8470,0.9726,74.10
0.8491,0.9726,74.09
0.8513,0.9726,74.09
0.8534,0.9726,74.06
0.8556,0.9726,74.06
0.8578,0.9726,74.06
0.8599,0.9726,74.06
0.8621,0.9726,74.06
0.8642,0.9726,74.06
0.8664,0.9726,74.06
0.8685,0.9726,74.06
0.8707,0.9726,74.06
0.8728,0.9726,74.06
0.8750,0.9726,74.06
0.8772,0.9726,74.06
0.8793,0.9726,74.06
0.8815,0.9726,74.06
0.8836,0.9726,74.06
0.8858,0.9726,74.02
0.8879,0.9726,74.01
0.8901,0.9726,74.01
0.8922,0.9726,74.01
0.8944,0.9726,74.01
0.8966,0.9726,74.01
0.8987,0.9726,74.01
0.9009,0.9726,74.01
0.9030,0.9726,74.01
0.9052,0.9726,74.01
0.9073,0.9726,74.01
0.9095,0.9726,73.97
0.9116,0.9726,73.97
0.9138,0.9726,73.97
0.9159,0.9726,73.97
0.9181,0.9726,73.97
0.9203,0.9726,73.97
0.9224,0.9726,73.97
0.9246,0.9726,73.97
0.9267,0.9726,73.97
0.9289,0.9726,73.97
0.9310,0.9726,73.97
0.9332,0.9726,73.97
0.9353,0.9726,73.97
0.9375,0.9726,73.93
0.9397,0.9726,73.93
0.9397,0.9753,73.91
0.9397,0.9781,73.91
0.9418,0.9781,73.90
0.9440,0.9781,73.90
0.9461,0.9781,73.89
0.9483,0.9781,73.89
0.9504,0.9781,73.89
0.9526,0.9781,73.88
0.9547,0.9781,73.88
0.9569,0.9781,73.84
0.9591,0.9781,73.84
0.9612,0.9781,73.83
0.9634,0.9781,73.83
0.9655,0.9781,73.83
0.9677,0.9781,73.83
0.9698,0.9781,73.83
0.9720,0.9781,73.83
0.9741,0.9781,73.83
0.9763,0.9781,73.83
0.9784,0.9781,73.83
0.9806,0.9781,73.83
0.9828,0.9781,73.83
0.9849,0.9781,73.83
0.9871,0.9781,73.56
0.9871,0.9808,73.09
0.9871,0.9836,72.61
0.9892,0.9836,72.55
0.9892,0.9863,72.07
0.9892,0.9890,71.80
0.9892,0.9918,71.77
0.9892,0.9945,71.36
0.9892,0.9973,71.30
0.9914,0.9973,70.97
0.9935,0.9973,70.25
0.9935,1.0000,67.92
0.9957,1.0000,67.81
0.9978,1.0000,67.80
1.0000,1.0000,67.48
1.0000,1.0000,0.00
